,city,month_num,weather_factor,coef,intercept,mae,mse,r2,2022_prediction_F
0,london,1,high_temp,0.05559509853146433,-64.6675177878719,2.511201447999557,9.06491647708406,0.1989457218826628,47.745771442748975
1,london,2,high_temp,0.07091344587912828,-93.90172268675346,2.870400394592063,10.30317749381516,-0.03188564427464424,49.485264880843914
2,london,3,high_temp,0.06826711851173331,-83.65150349407767,2.510225318231837,11.540598318159196,-0.07190461157018513,54.38461013664707
3,london,4,high_temp,0.0843897563493678,-110.55405142520507,1.9073221698717167,4.950743372245258,0.3017171335443263,60.0820359132166
4,london,5,high_temp,0.05475778980032666,-44.92855856798665,2.009373771871322,6.3759967194934415,0.23418727219508984,65.79169240827386
5,london,6,high_temp,0.05024699008394481,-29.844377856612724,2.3059645430183715,7.625063917190799,-0.03163583620784127,71.75503609312368
6,london,7,high_temp,0.07112129147416806,-67.84726817561285,3.572609700609293,18.5319399794368,0.1761757845555587,75.95998318515497
7,london,8,high_temp,0.06421180119914528,-55.22248967885977,2.254411091351225,8.481454319995793,0.03852780300809944,74.61377234581198
8,london,9,high_temp,0.034023186286107565,-0.3188600434473443,1.682671208569026,4.0473804792080506,-0.07356326546822123,68.47602262706215
9,london,10,high_temp,0.009537564794700314,40.869639085453656,1.947351940077,6.15694090028529,-0.12383473730817762,60.15459510033769
10,london,11,high_temp,0.04748166390639451,-42.86380965951863,1.6319856550986165,3.474137896619269,0.28485883591017447,53.14411475921107
11,london,12,high_temp,0.07759458413094447,-107.12546571526903,1.9288580270148241,5.72367545138136,-0.3628285418244359,49.77078339750068
12,nyc,1,high_temp,0.005398233797963137,28.24074727502181,3.439545991006916,17.088445179554896,0.008239518821108405,39.155976014503274
13,nyc,2,high_temp,0.02157818939590143,-1.3950625536125898,3.339377251511276,18.48251701390648,0.039632928774754994,42.236036404900105
14,nyc,3,high_temp,0.04778715753450292,-44.941274306236494,2.996399425674295,12.740291674116584,0.0452252819422293,51.68435822852841
15,nyc,4,high_temp,0.031091323633543777,0.4204644701169187,2.741456172366421,11.493712962046676,-0.6901968239990772,63.28712085714243
16,nyc,5,high_temp,0.005929606414496099,59.6986594050483,2.3411909607758736,8.647220883627536,0.006964524393028304,71.68832357515942
17,nyc,6,high_temp,0.002602820114762679,75.12756423403455,1.6599421726848902,4.915576071057462,-0.16243250291619304,80.39046650608469
18,nyc,7,high_temp,-0.011662128155188628,108.64303654113024,2.322592446449279,9.544467311058938,-0.20018137397583935,85.06221341133883
19,nyc,8,high_temp,0.00444013131992093,75.03028449655451,1.792153215556595,4.861313311208564,-0.294905852269151,84.00823002543464
20,nyc,9,high_temp,0.003071803175330998,70.46152848627271,2.0437632921358797,7.036643979854185,-0.08769663560617036,76.67271450679199
21,nyc,10,high_temp,-0.027462278615234727,119.83034798246118,1.8241687607279775,4.165753730216105,0.07199191816845785,64.30162062245657
22,nyc,11,high_temp,0.018536854473548445,17.5130265948301,3.1178126687441363,12.258128315235957,-0.0525978035042749,54.99454634034506
23,nyc,12,high_temp,0.02869529861867369,-14.168688384822588,2.5946391401930033,16.21239815876617,-0.5043969317430661,43.853205422135616
