,city,month_num,weather_factor,coef,intercept,mae,mse,r2,2022_prediction_hours
0,London,1,sunshine,0.19359848266601126,-331.2847013130864,12.147621854539754,241.62696285030614,-0.1074331230501584,60.1714306375884
1,London,2,sunshine,0.24655630797740932,-417.65540961785615,17.93306852661496,496.9798413541905,0.03437632679988134,80.88144511246549
2,London,3,sunshine,0.23547508992414495,-355.67777818279717,31.877114899066314,1439.606325971047,0.010355083187224223,120.45285364382391
3,London,4,sunshine,0.7988592950229232,-1429.5476936029504,23.297924552876257,1013.9269678087626,0.14563625245285827,185.74580093340023
4,London,5,sunshine,0.010946464120295596,175.02766112560673,36.26432248175215,2046.500808417105,-0.039276625146371646,197.16141157684442
5,London,6,sunshine,-0.4773852092860275,1150.5062026788517,30.428181611116717,1387.2583803574528,0.01644620825127263,185.23330950250397
6,London,7,sunshine,0.19074430970357664,-180.86893663155146,40.16694126071773,1975.5551133446293,0.03155462365281303,204.8160575890805
7,London,8,sunshine,0.18895511612237906,-191.41332441245027,32.110272569952265,1902.3074202521448,-0.06796444628079024,190.6539203870002
8,London,9,sunshine,0.36086507646312355,-569.8889155356721,22.159481131568207,664.2483467728299,-0.27364030891849644,159.78026907276364
9,London,10,sunshine,0.02633353408039915,56.04865705590099,20.6168339857613,669.4390771657463,-0.0042656916550793955,109.29506296646807
10,London,11,sunshine,0.13695556320306285,-202.91612258834664,15.95418705504055,340.8096980659426,-0.22640995789988372,74.00802620824646
11,London,12,sunshine,0.12323951992773109,-197.42196701654018,11.714248885584922,180.34458549599128,-0.08042754213874348,51.768342277332096
